reward_today,future_reward,delay,key_resp.keys,key_resp.rt
67,75,119,t,0.0046714
49,60,89,l,0.0047936
28,101,145,t,0.0051837
17,117,142,t,0.005301
58,125,61,t,0.0053038
5,109,99,t,0.0058654
20,121,40,t,0.0067189
7,99,40,t,0.0110413
11,89,138,l,0.0171866
53,111,87,l,0.0189728
54,120,93,l,0.0190257
60,89,93,l,0.0207858
79,100,67,t,0.0236086
42,93,40,l,0.0238216
73,111,127,t,0.0239747
27,50,21,l,0.0239944
77,100,143,l,0.0294221
28,104,60,l,0.0298281
4,121,124,t,0.030224
24,99,63,l,0.0303336
78,80,162,l,0.0316304
2,106,85,l,0.0317371
70,116,89,t,0.0320043
8,99,103,t,0.0389127
69,123,53,l,0.0409313
63,94,89,l,0.041084
15,35,13,t,0.0495853
37,129,56,l,0.0593271
68,128,83,l,0.0629111
77,91,73,t,0.064808
64,104,74,l,0.0666305
2,110,106,l,0.0674441
58,96,93,l,0.0688223
57,96,90,l,0.0690395
20,110,130,l,0.0728359
5,104,148,t,0.0748944
48,125,107,l,0.0761153
46,89,97,l,0.0761588
80,81,143,l,0.0804369
11,30,7,l,0.0821534
28,103,138,l,0.084327
39,108,139,t,0.0868719
78,88,92,l,0.0896538
30,101,68,t,0.0899912
15,107,59,l,0.0902697
7,130,95,l,0.0907234
72,111,95,l,0.0918208
13,104,52,l,0.0939976
58,86,95,t,0.0964025
46,97,98,l,0.0993799
40,55,62,l,0.1035927
49,83,99,l,0.1077691
13,104,48,t,0.1090309
49,86,133,l,0.1129792
65,99,129,t,0.1151486
36,126,47,t,0.130483
56,129,130,t,0.1306757
28,104,42,t,0.1309919
11,115,97,t,0.1412748
32,114,111,t,0.142976
45,91,119,t,0.1454687
22,107,119,t,0.147736
28,102,76,l,0.1477588
36,105,67,t,0.1478302
16,110,45,l,0.1481723
26,91,109,l,0.1534848
3,93,78,l,0.1579967
40,117,125,t,0.1581078
27,89,52,t,0.1790088
40,93,60,t,0.1792534
28,86,67,l,0.1826687
47,128,46,l,0.1835776
59,115,120,t,0.1837576
58,128,81,l,0.1869939
75,81,146,l,0.1982671
24,111,82,l,0.2025905
53,114,58,t,0.2036525
55,112,131,l,0.2119286
13,87,84,t,0.2530691
63,103,147,t,0.2726832
29,98,40,l,0.2821259
80,82,143,l,0.3031323
61,100,77,t,0.3051601
55,121,40,t,0.3087959
25,113,126,l,0.3215805
38,125,85,t,0.3225424
6,101,46,t,0.3466986
28,127,70,l,0.3500096
38,90,72,l,0.4211604
22,85,82,t,0.436799
64,102,109,t,0.4428367
53,100,81,t,0.5508678
67,97,40,l,0.5569545
46,103,98,t,0.5586225
15,129,109,l,0.5735709
47,83,107,l,0.8479082
35,116,100,l,0.8533257
35,119,44,t,0.9355042
71,106,100,t,1.3740779
34,115,49,t,2.3960354
