18.1743 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [2880, 1920]. Using actual size
19.4090 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021EDA291E80>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021EDA291E20>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021EDA291B20>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000021EE09356A0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([2880, 1920]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
19.4092 	EXP 	window1: mouseVisible = True
19.4092 	EXP 	window1: backgroundImage = ''
19.4092 	EXP 	window1: backgroundFit = 'none'
19.4094 	EXP 	window1: mouseVisible = False
19.4094 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
19.4095 	EXP 	window1: recordFrameIntervals = False
19.5749 	EXP 	window1: recordFrameIntervals = True
19.7586 	EXP 	Screen (0) actual frame rate measured at 59.92Hz
19.7587 	EXP 	window1: recordFrameIntervals = False
21.9610 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
21.9916 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
22.0082 	EXP 	Imported C:/Users/urmil/OneDrive/Documents/discounting_conditons.xlsx as conditions, 100 conditions, 3 params
22.0099 	EXP 	Created sequence: random, trialTypes=100, nReps=1, seed=None
22.0103 	EXP 	New trial (rep=0, index=0): {'reward_today': 48, 'future_reward': 125, 'delay': 107}
22.0922 	EXP 	text: height = 0.05
22.0922 	EXP 	text: height = 0.05
22.0922 	EXP 	text: height = 0.05
22.0922 	EXP 	text: text = 'GBP48 todayor GBP 125after107 days'
22.0922 	EXP 	fixation: autoDraw = True
22.9916 	EXP 	text: autoDraw = True
23.0916 	EXP 	fixation: autoDraw = False
23.4607 	EXP 	New trial (rep=0, index=1): {'reward_today': 64, 'future_reward': 104, 'delay': 74}
23.4702 	DATA 	Keypress: l
23.4746 	EXP 	fixation: autoDraw = False
23.4746 	EXP 	text: autoDraw = False
23.4746 	EXP 	text: height = 0.05
23.4746 	EXP 	text: height = 0.05
23.4746 	EXP 	text: height = 0.05
23.4746 	EXP 	text: text = 'GBP64 todayor GBP 104after74 days'
23.4746 	EXP 	fixation: autoDraw = True
24.0289 	DATA 	Keypress: l
24.3938 	DATA 	Keypress: t
24.4747 	EXP 	fixation: autoDraw = False
24.4747 	EXP 	text: autoDraw = True
24.7758 	EXP 	New trial (rep=0, index=2): {'reward_today': 16, 'future_reward': 110, 'delay': 45}
24.7813 	DATA 	Keypress: t
24.7915 	EXP 	fixation: autoDraw = False
24.7915 	EXP 	text: autoDraw = False
24.7915 	EXP 	text: height = 0.05
24.7915 	EXP 	text: height = 0.05
24.7915 	EXP 	text: height = 0.05
24.7915 	EXP 	text: text = 'GBP16 todayor GBP 110after45 days'
24.7915 	EXP 	fixation: autoDraw = True
25.7748 	EXP 	text: autoDraw = True
25.7917 	EXP 	fixation: autoDraw = False
26.1280 	DATA 	Keypress: t
26.1435 	EXP 	New trial (rep=0, index=3): {'reward_today': 32, 'future_reward': 114, 'delay': 111}
26.1582 	EXP 	fixation: autoDraw = False
26.1582 	EXP 	text: autoDraw = False
26.1582 	EXP 	text: height = 0.05
26.1582 	EXP 	text: height = 0.05
26.1582 	EXP 	text: height = 0.05
26.1582 	EXP 	text: text = 'GBP32 todayor GBP 114after111 days'
26.1582 	EXP 	fixation: autoDraw = True
27.1582 	EXP 	fixation: autoDraw = False
27.1582 	EXP 	text: autoDraw = True
27.4601 	EXP 	New trial (rep=0, index=4): {'reward_today': 27, 'future_reward': 89, 'delay': 52}
27.4699 	DATA 	Keypress: l
27.4748 	EXP 	fixation: autoDraw = False
27.4748 	EXP 	text: autoDraw = False
27.4748 	EXP 	text: height = 0.05
27.4748 	EXP 	text: height = 0.05
27.4748 	EXP 	text: height = 0.05
27.4748 	EXP 	text: text = 'GBP27 todayor GBP 89after52 days'
27.4748 	EXP 	fixation: autoDraw = True
28.4758 	EXP 	fixation: autoDraw = False
28.4758 	EXP 	text: autoDraw = True
28.7277 	EXP 	New trial (rep=0, index=5): {'reward_today': 47, 'future_reward': 128, 'delay': 46}
28.7388 	DATA 	Keypress: l
28.7416 	EXP 	fixation: autoDraw = False
28.7416 	EXP 	text: autoDraw = False
28.7416 	EXP 	text: height = 0.05
28.7416 	EXP 	text: height = 0.05
28.7416 	EXP 	text: height = 0.05
28.7416 	EXP 	text: text = 'GBP47 todayor GBP 128after46 days'
28.7416 	EXP 	fixation: autoDraw = True
29.7415 	EXP 	fixation: autoDraw = False
29.7415 	EXP 	text: autoDraw = True
30.1270 	EXP 	New trial (rep=0, index=6): {'reward_today': 22, 'future_reward': 85, 'delay': 82}
30.1347 	DATA 	Keypress: t
30.1419 	EXP 	fixation: autoDraw = False
30.1419 	EXP 	text: autoDraw = False
30.1419 	EXP 	text: height = 0.05
30.1419 	EXP 	text: height = 0.05
30.1419 	EXP 	text: height = 0.05
30.1419 	EXP 	text: text = 'GBP22 todayor GBP 85after82 days'
30.1419 	EXP 	fixation: autoDraw = True
31.1417 	EXP 	fixation: autoDraw = False
31.1417 	EXP 	text: autoDraw = True
31.4767 	EXP 	New trial (rep=0, index=7): {'reward_today': 56, 'future_reward': 129, 'delay': 130}
31.4853 	DATA 	Keypress: t
31.4916 	EXP 	fixation: autoDraw = False
31.4916 	EXP 	text: autoDraw = False
31.4916 	EXP 	text: height = 0.05
31.4916 	EXP 	text: height = 0.05
31.4916 	EXP 	text: height = 0.05
31.4916 	EXP 	text: text = 'GBP56 todayor GBP 129after130 days'
31.4916 	EXP 	fixation: autoDraw = True
32.4917 	EXP 	fixation: autoDraw = False
32.4917 	EXP 	text: autoDraw = True
32.8113 	EXP 	New trial (rep=0, index=8): {'reward_today': 58, 'future_reward': 128, 'delay': 81}
32.8246 	DATA 	Keypress: l
32.8275 	EXP 	fixation: autoDraw = False
32.8275 	EXP 	text: autoDraw = False
32.8275 	EXP 	text: height = 0.05
32.8275 	EXP 	text: height = 0.05
32.8275 	EXP 	text: height = 0.05
32.8275 	EXP 	text: text = 'GBP58 todayor GBP 128after81 days'
32.8275 	EXP 	fixation: autoDraw = True
33.8248 	EXP 	text: autoDraw = True
33.8416 	EXP 	fixation: autoDraw = False
34.2100 	EXP 	New trial (rep=0, index=9): {'reward_today': 39, 'future_reward': 108, 'delay': 139}
34.2187 	DATA 	Keypress: t
34.2247 	EXP 	fixation: autoDraw = False
34.2247 	EXP 	text: autoDraw = False
34.2247 	EXP 	text: height = 0.05
34.2247 	EXP 	text: height = 0.05
34.2247 	EXP 	text: height = 0.05
34.2247 	EXP 	text: text = 'GBP39 todayor GBP 108after139 days'
34.2247 	EXP 	fixation: autoDraw = True
35.2249 	EXP 	fixation: autoDraw = False
35.2249 	EXP 	text: autoDraw = True
35.8600 	EXP 	New trial (rep=0, index=10): {'reward_today': 53, 'future_reward': 111, 'delay': 87}
35.8688 	DATA 	Keypress: l
35.8750 	EXP 	fixation: autoDraw = False
35.8750 	EXP 	text: autoDraw = False
35.8750 	EXP 	text: height = 0.05
35.8750 	EXP 	text: height = 0.05
35.8750 	EXP 	text: height = 0.05
35.8750 	EXP 	text: text = 'GBP53 todayor GBP 111after87 days'
35.8750 	EXP 	fixation: autoDraw = True
36.8749 	EXP 	fixation: autoDraw = False
36.8749 	EXP 	text: autoDraw = True
37.4605 	EXP 	New trial (rep=0, index=11): {'reward_today': 46, 'future_reward': 97, 'delay': 98}
37.4692 	DATA 	Keypress: l
37.4748 	EXP 	fixation: autoDraw = False
37.4748 	EXP 	text: autoDraw = False
37.4748 	EXP 	text: height = 0.05
37.4748 	EXP 	text: height = 0.05
37.4748 	EXP 	text: height = 0.05
37.4748 	EXP 	text: text = 'GBP46 todayor GBP 97after98 days'
37.4748 	EXP 	fixation: autoDraw = True
38.4748 	EXP 	fixation: autoDraw = False
38.4748 	EXP 	text: autoDraw = True
38.9928 	EXP 	New trial (rep=0, index=12): {'reward_today': 13, 'future_reward': 104, 'delay': 48}
39.0001 	DATA 	Keypress: t
39.0081 	EXP 	fixation: autoDraw = False
39.0081 	EXP 	text: autoDraw = False
39.0081 	EXP 	text: height = 0.05
39.0081 	EXP 	text: height = 0.05
39.0081 	EXP 	text: height = 0.05
